"No.","Time","Source","Destination","Protocol","Source port","Length","TCP Flags","Dst Port","Stream ID","Delta Time","Info"
"1","0.000000","192.168.48.130","192.168.48.1","DNS","33090","93","","53","","","Standard query 0x7503 A 2.debian.pool.ntp.org.localdomain"
"2","0.000094","192.168.48.130","192.168.48.1","DNS","33090","93","","53","","0.000094000","Standard query 0x590e AAAA 2.debian.pool.ntp.org.localdomain"
"3","2.653277","192.168.73.128","192.168.73.1","UDP","20001","813","","10001","","2.653183000","20001  >  10001 Len=771"
"4","2.655522","192.168.73.128","192.168.73.1","UDP","20000","813","","10000","","0.002245000","20000  >  10000 Len=771"
"5","2.660904","192.168.73.128","192.168.73.1","UDP","20001","813","","10001","","0.005382000","20001  >  10001 Len=771"
"6","3.161363","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.500459000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"7","3.165760","192.168.73.128","192.168.73.1","UDP","20000","477","","10000","","0.004397000","20000  >  10000 Len=435"
"8","4.400019","192.168.73.128","192.168.73.1","UDP","20000","723","","10000","","1.234259000","20000  >  10000 Len=681"
"9","4.678915","192.168.48.133","192.168.48.1","TCP","50070","74","0x0002","53","0","0.278896000","50070  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388890637 TSecr=0 WS=128"
"10","5.001599","192.168.48.130","192.168.48.1","DNS","33090","93","","53","","0.322684000","Standard query 0x7503 A 2.debian.pool.ntp.org.localdomain"
"11","5.001709","192.168.48.130","192.168.48.1","DNS","33090","93","","53","","0.000110000","Standard query 0x590e AAAA 2.debian.pool.ntp.org.localdomain"
"12","5.171662","VMware_72:69:7d","VMware_c0:00:02","ARP","","60","","","","0.169953000","Who has 192.168.48.1? Tell 192.168.48.130"
"13","5.682327","192.168.48.133","192.168.48.1","TCP","50070","74","0x0002","53","0","0.510665000","[TCP Retransmission] 50070  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388891641 TSecr=0 WS=128"
"14","7.698094","192.168.48.133","192.168.48.1","TCP","50070","74","0x0002","53","0","2.015767000","[TCP Retransmission] 50070  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388893657 TSecr=0 WS=128"
"15","10.007855","192.168.48.130","192.168.48.1","DNS","56155","81","","53","","2.309761000","Standard query 0x1b3f A 3.debian.pool.ntp.org"
"16","10.007962","192.168.48.130","192.168.48.1","DNS","56155","81","","53","","0.000107000","Standard query 0xa13b AAAA 3.debian.pool.ntp.org"
"17","11.922158","192.168.48.133","192.168.48.1","TCP","50070","74","0x0002","53","0","1.914196000","[TCP Retransmission] 50070  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3388897881 TSecr=0 WS=128"
"18","13.160862","192.168.48.128","192.168.48.1","TCP","47966","78","0x0002","53","1","1.238704000","47966  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2110675947 TSecr=0 WS=128 TFO=R"
"19","14.173933","192.168.48.128","192.168.48.1","TCP","47966","74","0x0002","53","1","1.013071000","[TCP Retransmission] 47966  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2110676959 TSecr=0 WS=128"
"20","14.688015","192.168.48.133","192.168.48.1","DNS","39497","86","","53","","0.514082000","Standard query 0x1b4e AAAA ntp.ubuntu.com.localdomain"
"21","14.688142","192.168.48.133","192.168.48.1","DNS","41375","86","","53","","0.000127000","Standard query 0x0746 A ntp.ubuntu.com.localdomain"
"22","15.006116","192.168.73.128","192.168.73.1","UDP","20001","410","","10001","","0.317974000","20001  >  10001 Len=368"
"23","15.008585","192.168.73.128","192.168.73.1","UDP","20000","410","","10000","","0.002469000","20000  >  10000 Len=368"
"24","15.013446","192.168.48.130","192.168.48.1","DNS","56155","81","","53","","0.004861000","Standard query 0x1b3f A 3.debian.pool.ntp.org"
"25","15.013465","192.168.73.128","192.168.73.1","UDP","20001","410","","10001","","0.000019000","20001  >  10001 Len=368"
"26","15.013610","192.168.48.130","192.168.48.1","DNS","56155","81","","53","","0.000145000","Standard query 0xa13b AAAA 3.debian.pool.ntp.org"
"27","15.570586","0c:83:56:9e:00:01","Nearest-Customer-Bridge","STP","","60","","","","0.556976000","Conf. Root = 32768/1/0c:83:56:9e:00:00  Cost = 0  Port = 0x8002"
"28","15.573514","192.168.73.128","192.168.73.1","UDP","20000","813","","10000","","0.002928000","20000  >  10000 Len=771"
"29","15.611916","192.168.73.128","192.168.73.1","UDP","20000","813","","10000","","0.038402000","20000  >  10000 Len=771"
"30","16.192785","192.168.48.128","192.168.48.1","TCP","47966","74","0x0002","53","1","0.580869000","[TCP Retransmission] 47966  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2110678975 TSecr=0 WS=128"
"31","17.042177","VMware_2f:25:17","VMware_c0:00:02","ARP","","60","","","","0.849392000","Who has 192.168.48.1? Tell 192.168.48.133"
"32","18.371158","VMware_8b:74:2b","VMware_c0:00:02","ARP","","60","","","","1.328981000","Who has 192.168.48.1? Tell 192.168.48.128"
"33","19.692912","192.168.48.133","192.168.48.1","DNS","41375","86","","53","","1.321754000","Standard query 0x0746 A ntp.ubuntu.com.localdomain"
"34","19.693018","192.168.48.133","192.168.48.1","DNS","39497","86","","53","","0.000106000","Standard query 0x1b4e AAAA ntp.ubuntu.com.localdomain"
"35","20.019068","192.168.48.130","192.168.48.1","DNS","49543","93","","53","","0.326050000","Standard query 0x149a A 3.debian.pool.ntp.org.localdomain"
"36","20.019149","192.168.48.130","192.168.48.1","DNS","49543","93","","53","","0.000081000","Standard query 0x7a9f AAAA 3.debian.pool.ntp.org.localdomain"
"37","20.273221","192.168.48.130","192.168.48.133","TCP","44596","74","0x0002","21","2","0.254072000","44596  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205413 TSecr=0 WS=256"
"38","20.273343","192.168.48.130","192.168.48.133","TCP","44600","74","0x0002","21","3","0.000122000","44600  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205413 TSecr=0 WS=256"
"39","20.273568","192.168.48.130","192.168.48.133","TCP","44614","74","0x0002","21","4","0.000225000","44614  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205414 TSecr=0 WS=256"
"40","20.273657","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44596","2","0.000089000","21  >  44596 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817694 TSecr=4266205413 WS=128"
"41","20.273773","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44600","3","0.000116000","21  >  44600 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817694 TSecr=4266205413 WS=128"
"42","20.273824","192.168.48.130","192.168.48.133","TCP","44596","66","0x0010","21","2","0.000051000","44596  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205414 TSecr=359817694"
"43","20.273873","192.168.48.130","192.168.48.133","TCP","44600","66","0x0010","21","3","0.000049000","44600  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205414 TSecr=359817694"
"44","20.273924","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44614","4","0.000051000","21  >  44614 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817695 TSecr=4266205414 WS=128"
"45","20.274033","192.168.48.130","192.168.48.133","TCP","44614","66","0x0010","21","4","0.000109000","44614  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205414 TSecr=359817695"
"46","20.274083","192.168.48.130","192.168.48.133","TCP","44628","74","0x0002","21","5","0.000050000","44628  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205414 TSecr=0 WS=256"
"47","20.274132","192.168.48.130","192.168.48.133","TCP","44638","74","0x0002","21","6","0.000049000","44638  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205414 TSecr=0 WS=256"
"48","20.274239","192.168.48.130","192.168.48.133","TCP","44644","74","0x0002","21","7","0.000107000","44644  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205414 TSecr=0 WS=256"
"49","20.274348","192.168.48.130","192.168.48.133","TCP","44652","74","0x0002","21","8","0.000109000","44652  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205414 TSecr=0 WS=256"
"50","20.274460","192.168.48.130","192.168.48.133","TCP","44662","74","0x0002","21","9","0.000112000","44662  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205414 TSecr=0 WS=256"
"51","20.274569","192.168.48.130","192.168.48.133","TCP","44672","74","0x0002","21","10","0.000109000","44672  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205415 TSecr=0 WS=256"
"52","20.274678","192.168.48.130","192.168.48.133","TCP","44680","74","0x0002","21","11","0.000109000","44680  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205415 TSecr=0 WS=256"
"53","20.274788","192.168.48.130","192.168.48.133","TCP","44692","74","0x0002","21","12","0.000110000","44692  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205415 TSecr=0 WS=256"
"54","20.274900","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44628","5","0.000112000","21  >  44628 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817696 TSecr=4266205414 WS=128"
"55","20.274951","192.168.48.130","192.168.48.133","TCP","44628","66","0x0010","21","5","0.000051000","44628  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205415 TSecr=359817696"
"56","20.274999","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44638","6","0.000048000","21  >  44638 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817696 TSecr=4266205414 WS=128"
"57","20.275107","192.168.48.130","192.168.48.133","TCP","44638","66","0x0010","21","6","0.000108000","44638  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205415 TSecr=359817696"
"58","20.275158","192.168.48.130","192.168.48.133","TCP","44708","74","0x0002","21","13","0.000051000","44708  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205415 TSecr=0 WS=256"
"59","20.275203","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44644","7","0.000045000","21  >  44644 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817696 TSecr=4266205414 WS=128"
"60","20.275316","192.168.48.130","192.168.48.133","TCP","44644","66","0x0010","21","7","0.000113000","44644  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205415 TSecr=359817696"
"61","20.275367","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44652","8","0.000051000","21  >  44652 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817696 TSecr=4266205414 WS=128"
"62","20.275417","192.168.48.130","192.168.48.133","TCP","44652","66","0x0010","21","8","0.000050000","44652  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205415 TSecr=359817696"
"63","20.275464","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44662","9","0.000047000","21  >  44662 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817696 TSecr=4266205414 WS=128"
"64","20.275512","192.168.48.130","192.168.48.133","TCP","44722","74","0x0002","21","14","0.000048000","44722  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205415 TSecr=0 WS=256"
"65","20.275624","192.168.48.130","192.168.48.133","TCP","44662","66","0x0010","21","9","0.000112000","44662  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205415 TSecr=359817696"
"66","20.275674","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44672","10","0.000050000","21  >  44672 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817696 TSecr=4266205415 WS=128"
"67","20.275723","192.168.48.130","192.168.48.133","TCP","44672","66","0x0010","21","10","0.000049000","44672  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205416 TSecr=359817696"
"68","20.275770","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44680","11","0.000047000","21  >  44680 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817696 TSecr=4266205415 WS=128"
"69","20.275817","192.168.48.130","192.168.48.133","TCP","44680","66","0x0010","21","11","0.000047000","44680  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205416 TSecr=359817696"
"70","20.275861","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44692","12","0.000044000","21  >  44692 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817696 TSecr=4266205415 WS=128"
"71","20.275974","192.168.48.130","192.168.48.133","TCP","44692","66","0x0010","21","12","0.000113000","44692  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205416 TSecr=359817696"
"72","20.276024","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44708","13","0.000050000","21  >  44708 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817697 TSecr=4266205415 WS=128"
"73","20.276080","192.168.48.130","192.168.48.133","TCP","44708","66","0x0010","21","13","0.000056000","44708  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205416 TSecr=359817697"
"74","20.276135","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44722","14","0.000055000","21  >  44722 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817697 TSecr=4266205415 WS=128"
"75","20.276183","192.168.48.130","192.168.48.133","TCP","44722","66","0x0010","21","14","0.000048000","44722  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205416 TSecr=359817697"
"76","20.276286","192.168.48.130","192.168.48.133","TCP","44738","74","0x0002","21","15","0.000103000","44738  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205416 TSecr=0 WS=256"
"77","20.276398","192.168.48.130","192.168.48.133","TCP","44748","74","0x0002","21","16","0.000112000","44748  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205416 TSecr=0 WS=256"
"78","20.276509","192.168.48.130","192.168.48.133","TCP","44762","74","0x0002","21","17","0.000111000","44762  >  21 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=4266205417 TSecr=0 WS=256"
"79","20.276559","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44738","15","0.000050000","21  >  44738 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817697 TSecr=4266205416 WS=128"
"80","20.276667","192.168.48.130","192.168.48.133","TCP","44738","66","0x0010","21","15","0.000108000","44738  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205417 TSecr=359817697"
"81","20.276717","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44748","16","0.000050000","21  >  44748 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817697 TSecr=4266205416 WS=128"
"82","20.276765","192.168.48.130","192.168.48.133","TCP","44748","66","0x0010","21","16","0.000048000","44748  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205417 TSecr=359817697"
"83","20.276812","192.168.48.133","192.168.48.130","TCP","21","74","0x0012","44762","17","0.000047000","21  >  44762 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=359817697 TSecr=4266205417 WS=128"
"84","20.276921","192.168.48.130","192.168.48.133","TCP","44762","66","0x0010","21","17","0.000109000","44762  >  21 [ACK] Seq=1 Ack=1 Win=64256 Len=0 TSval=4266205417 TSecr=359817697"
"85","20.288839","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44596","2","0.011918000","Response: 220 (vsFTPd 3.0.5)"
"86","20.288910","192.168.48.130","192.168.48.133","TCP","44596","66","0x0010","21","2","0.000071000","44596  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205429 TSecr=359817710"
"87","20.288981","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44638","6","0.000071000","Response: 220 (vsFTPd 3.0.5)"
"88","20.289111","192.168.48.130","192.168.48.133","TCP","44638","66","0x0010","21","6","0.000130000","44638  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205429 TSecr=359817710"
"89","20.291606","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44644","7","0.002495000","Response: 220 (vsFTPd 3.0.5)"
"90","20.291672","192.168.48.130","192.168.48.133","TCP","44644","66","0x0010","21","7","0.000066000","44644  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205432 TSecr=359817712"
"91","20.293658","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44628","5","0.001986000","Response: 220 (vsFTPd 3.0.5)"
"92","20.293724","192.168.48.130","192.168.48.133","TCP","44628","66","0x0010","21","5","0.000066000","44628  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205434 TSecr=359817714"
"93","20.295862","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44652","8","0.002138000","Response: 220 (vsFTPd 3.0.5)"
"94","20.295943","192.168.48.130","192.168.48.133","TCP","44652","66","0x0010","21","8","0.000081000","44652  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205436 TSecr=359817717"
"95","20.298080","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44614","4","0.002137000","Response: 220 (vsFTPd 3.0.5)"
"96","20.298148","192.168.48.130","192.168.48.133","TCP","44614","66","0x0010","21","4","0.000068000","44614  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205438 TSecr=359817719"
"97","20.300214","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44662","9","0.002066000","Response: 220 (vsFTPd 3.0.5)"
"98","20.300294","192.168.48.130","192.168.48.133","TCP","44662","66","0x0010","21","9","0.000080000","44662  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205440 TSecr=359817721"
"99","20.303989","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44672","10","0.003695000","Response: 220 (vsFTPd 3.0.5)"
"100","20.304067","192.168.48.130","192.168.48.133","TCP","44672","66","0x0010","21","10","0.000078000","44672  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205444 TSecr=359817725"
"101","20.306215","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44600","3","0.002148000","Response: 220 (vsFTPd 3.0.5)"
"102","20.306376","192.168.48.130","192.168.48.133","TCP","44600","66","0x0010","21","3","0.000161000","44600  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205446 TSecr=359817727"
"103","20.308512","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44680","11","0.002136000","Response: 220 (vsFTPd 3.0.5)"
"104","20.308657","192.168.48.130","192.168.48.133","TCP","44680","66","0x0010","21","11","0.000145000","44680  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205449 TSecr=359817729"
"105","20.310818","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44722","14","0.002161000","Response: 220 (vsFTPd 3.0.5)"
"106","20.310904","192.168.48.130","192.168.48.133","TCP","44722","66","0x0010","21","14","0.000086000","44722  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205451 TSecr=359817732"
"107","20.313208","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44738","15","0.002304000","Response: 220 (vsFTPd 3.0.5)"
"108","20.313338","192.168.48.130","192.168.48.133","TCP","44738","66","0x0010","21","15","0.000130000","44738  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205453 TSecr=359817734"
"109","20.315839","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44708","13","0.002501000","Response: 220 (vsFTPd 3.0.5)"
"110","20.315998","192.168.48.130","192.168.48.133","TCP","44708","66","0x0010","21","13","0.000159000","44708  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205456 TSecr=359817737"
"111","20.318595","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44748","16","0.002597000","Response: 220 (vsFTPd 3.0.5)"
"112","20.318675","192.168.48.130","192.168.48.133","TCP","44748","66","0x0010","21","16","0.000080000","44748  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205459 TSecr=359817739"
"113","20.321369","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44692","12","0.002694000","Response: 220 (vsFTPd 3.0.5)"
"114","20.321481","192.168.48.130","192.168.48.133","TCP","44692","66","0x0010","21","12","0.000112000","44692  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205462 TSecr=359817742"
"115","20.324559","192.168.48.133","192.168.48.130","FTP","21","86","0x0018","44762","17","0.003078000","Response: 220 (vsFTPd 3.0.5)"
"116","20.324760","192.168.48.130","192.168.48.133","TCP","44762","66","0x0010","21","17","0.000201000","44762  >  21 [ACK] Seq=1 Ack=21 Win=64256 Len=0 TSval=4266205465 TSecr=359817745"
"117","20.421401","192.168.48.128","192.168.48.1","TCP","47966","74","0x0002","53","1","0.096641000","[TCP Retransmission] 47966  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=2110683199 TSecr=0 WS=128"
"118","20.625141","192.168.48.130","192.168.48.133","FTP","44600","78","0x0018","21","3","0.203740000","Request: USER imran"
"119","20.625424","192.168.48.133","192.168.48.130","TCP","21","66","0x0010","44600","3","0.000283000","21  >  44600 [ACK] Seq=21 Ack=13 Win=65280 Len=0 TSval=359818046 TSecr=4266205765"
"120","20.625687","192.168.48.133","192.168.48.130","FTP","21","100","0x0018","44600","3","0.000263000","Response: 331 Please specify the password."
"121","20.625841","192.168.48.130","192.168.48.133","TCP","44600","66","0x0010","21","3","0.000154000","44600  >  21 [ACK] Seq=13 Ack=55 Win=64256 Len=0 TSval=4266205766 TSecr=359818046"
"122","20.626605","192.168.48.130","192.168.48.133","FTP","44614","78","0x0018","21","4","0.000764000","Request: USER imran"
"123","20.626944","192.168.48.133","192.168.48.130","TCP","21","66","0x0010","44614","4","0.000339000","21  >  44614 [ACK] Seq=21 Ack=13 Win=65280 Len=0 TSval=359818048 TSecr=4266205767"
"124","20.627034","192.168.48.130","192.168.48.133","FTP","44596","78","0x0018","21","2","0.000090000","Request: USER imran"
"125","20.627148","192.168.48.133","192.168.48.130","FTP","21","100","0x0018","44614","4","0.000114000","Response: 331 Please specify the password."
"126","20.627276","192.168.48.133","192.168.48.130","TCP","21","66","0x0010","44596","2","0.000128000","21  >  44596 [ACK] Seq=21 Ack=13 Win=65280 Len=0 TSval=359818048 TSecr=4266205767"
"127","20.627327","192.168.48.130","192.168.48.133","TCP","44614","66","0x0010","21","4","0.000051000","44614  >  21 [ACK] Seq=13 Ack=55 Win=64256 Len=0 TSval=4266205767 TSecr=359818048"
"128","20.627460","192.168.48.133","192.168.48.130","FTP","21","100","0x0018","44596","2","0.000133000","Response: 331 Please specify the password."
"129","20.627615","192.168.48.130","192.168.48.133","TCP","44596","66","0x0010","21","2","0.000155000","44596  >  21 [ACK] Seq=13 Ack=55 Win=64256 Len=0 TSval=4266205768 TSecr=359818048"
"130","20.627872","192.168.48.130","192.168.48.133","FTP","44672","78","0x0018","21","10","0.000257000","Request: USER imran"
"131","20.628023","192.168.48.133","192.168.48.130","TCP","21","66","0x0010","44672","10","0.000151000","21  >  44672 [ACK] Seq=21 Ack=13 Win=65280 Len=0 TSval=359818049 TSecr=4266205768"
"132","20.628192","192.168.48.133","192.168.48.130","FTP","21","100","0x0018","44672","10","0.000169000","Response: 331 Please specify the password."
"133","20.628254","192.168.48.130","192.168.48.133","FTP","44680","78","0x0018","21","11","0.000062000","Request: USER imran"
"134","20.628418","192.168.48.130","192.168.48.133","TCP","44672","66","0x0010","21","10","0.000164000","44672  >  21 [ACK] Seq=13 Ack=55 Win=64256 Len=0 TSval=4266205768 TSecr=359818049"
"135","20.628505","192.168.48.133","192.168.48.130","TCP","21","66","0x0010","44680","11","0.000087000","21  >  44680 [ACK] Seq=21 Ack=13 Win=65280 Len=0 TSval=359818049 TSecr=4266205768"
"136","20.628619","192.168.48.133","192.168.48.130","FTP","21","100","0x0018","44680","11","0.000114000","Response: 331 Please specify the password."
"137","20.628731","192.168.48.130","192.168.48.133","FTP","44692","78","0x0018","21","12","0.000112000","Request: USER imran"
"138","20.628846","192.168.48.130","192.168.48.133","TCP","44680","66","0x0010","21","11","0.000115000","44680  >  21 [ACK] Seq=13 Ack=55 Win=64256 Len=0 TSval=4266205769 TSecr=359818049"
"139","20.628956","192.168.48.133","192.168.48.130","TCP","21","66","0x0010","44692","12","0.000110000","21  >  44692 [ACK] Seq=21 Ack=13 Win=65280 Len=0 TSval=359818050 TSecr=4266205769"
"140","20.629067","192.168.48.133","192.168.48.130","FTP","21","100","0x0018","44692","12","0.000111000","Response: 331 Please specify the password."
"141","20.629202","192.168.48.130","192.168.48.133","TCP","44692","66","0x0010","21","12","0.000135000","44692  >  21 [ACK] Seq=13 Ack=55 Win=64256 Len=0 TSval=4266205769 TSecr=359818050"
"142","20.629338","192.168.48.130","192.168.48.133","FTP","44722","78","0x0018","21","14","0.000136000","Request: USER imran"
"143","20.629449","192.168.48.133","192.168.48.130","TCP","21","66","0x0010","44722","14","0.000111000","21  >  44722 [ACK] Seq=21 Ack=13 Win=65280 Len=0 TSval=359818050 TSecr=4266205769"
"144","20.629664","192.168.48.133","192.168.48.130","FTP","21","100","0x0018","44722","14","0.000215000","Response: 331 Please specify the password."
"145","20.629739","192.168.48.130","192.168.48.133","FTP","44708","78","0x0018","21","13","0.000075000","Request: USER imran"
"146","20.629850","192.168.48.133","192.168.48.130","TCP","21","66","0x0010","44708","13","0.000111000","21  >  44708 [ACK] Seq=21 Ack=13 Win=65280 Len=0 TSval=359818051 TSecr=4266205770"
"147","20.629901","192.168.48.130","192.168.48.133","TCP","44722","66","0x0010","21","14","0.000051000","44722  >  21 [ACK] Seq=13 Ack=55 Win=64256 Len=0 TSval=4266205770 TSecr=359818050"
"148","20.630010","192.168.48.133","192.168.48.130","FTP","21","100","0x0018","44708","13","0.000109000","Response: 331 Please specify the password."
"149","20.630128","192.168.48.130","192.168.48.133","TCP","44708","66","0x0010","21","13","0.000118000","44708  >  21 [ACK] Seq=13 Ack=55 Win=64256 Len=0 TSval=4266205770 TSecr=359818051"
"150","20.630230","192.168.48.130","192.168.48.133","FTP","44652","78","0x0018","21","8","0.000102000","Request: USER imran"
"151","20.630371","192.168.48.133","192.168.48.130","TCP","21","66","0x0010","44652","8","0.000141000","21  >  44652 [ACK] Seq=21 Ack=13 Win=65280 Len=0 TSval=359818051 TSecr=4266205770"
